PARTE 1,-
Execução(Resolucao-Frames),Tempo(ms)
1024-100,635.0
1024-200,666.5
1024-1000,2906.9
256-500,55.5
-,-
-,-
PARTE 2,-
Execução(Resolucao-Frames),Tempo(ms)
1024-100,35.5
1024-200,82.3
1024-1000,438.6
256-500,5.672

